price,area,pricePerMeter,rooms,floor
484000,70.7,6845.83,4,0
637088,74.08,8600.0,4,1
649528,73.81,8800.0,4,2
637088,74.08,8600.0,4,1
399000,52.91,7541.11,3,4
285000,35.6,8005.62,2,4
295000,45.0,6555.56,2,3
488862,49.38,9900.0,2,5
356400,39.6,9000.0,2,3
347900,39.76,8750.0,2,1
397840,49.73,8000.0,3,0
299000,41.62,7184.05,2,4
344900,52.3,6594.65,2,2
471436,41.72,11300.0,2,0
538090,58.75,9158.98,4,1
606776,83.12,7300.0,4,3
419000,48.7,8603.7,3,0
605400,60.54,10000.0,3,4
571995,60.21,9500.0,3,2
582730,61.34,9500.0,3,3
378000,37.5,10080.0,1,3
299000,33.12,9027.78,1,1
399000,50.24,7941.88,2,3
380000,50.13,7580.29,3,3
399000,72.0,5541.67,3,1
594000,47.41,12529.0,2,5
309917,39.23,7900.0,2,1
289140,36.6,7900.0,2,0
692901,69.99,9900.0,2,4
594704,54.56,10900.0,2,2
440725,51.85,8500.0,2,0
474725,55.85,8500.0,2,2
410550,48.3,8500.0,3,1
477090,58.9,8100.0,3,2
305460,33.94,9000.0,2,0
462466,58.54,7900.0,3,0
589666,76.58,7700.0,4,0
280000,37.0,7567.57,1,3
429000,56.3,7619.89,3,1
395930,46.58,8500.0,3,0
359000,44.0,8159.09,2,1
409446,47.61,8600.0,3,3
403636,53.11,7600.0,3,0
490420,79.1,6200.0,4,1
637088,74.08,8600.0,4,1
807000,103.0,7834.95,6,2
420000,58.9,7130.73,3,0
329000,49.0,6714.29,3,4
410440,66.2,6200.0,4,0
490420,79.1,6200.0,4,1
410440,66.2,6200.0,4,0
299000,42.0,7119.05,2,5
275000,32.9,8358.66,1,8
529000,101.0,5237.62,4,1
359000,47.87,7499.48,3,1
565616,48.76,11600.0,2,4
499086,39.61,12600.0,2,4
397782,31.57,12600.0,1,4
795000,106.86,7439.64,3,1
399000,60.4,6605.96,2,2
469000,59.5,7882.35,2,1
474725,55.85,8500.0,2,2
239000,22.89,10441.24,1,0
431500,54.93,7855.45,3,1
680295,73.15,9300.0,4,0
567245,59.71,9500.0,3,0
680295,73.15,9300.0,4,0
431500,54.93,7855.45,2,1
434500,51.24,8479.7,3,0
434500,51.24,8479.7,2,0
339000,48.53,6985.37,2,1
769000,96.0,8010.42,4,2
365000,46.0,7934.78,2,7
209000,36.0,5805.56,1,0
398925,49.25,8100.0,3,2
575000,145.62,3948.63,4,1
345912,39.76,8700.0,2,1
730000,68.59,10642.95,3,2
259000,32.14,8058.49,1,6
595000,50.42,11800.87,2,2
425000,61.63,6895.99,3,1
549000,47.0,11680.85,2,1
495000,55.0,9000.0,3,0
630000,72.0,8750.0,3,2
381175,48.25,7900.0,3,0
474750,49.51,9588.97,3,2
666270,67.3,9900.0,3,5
297075,34.95,8500.0,2,1
385000,80.0,4812.5,2,0
549000,50.0,10980.0,2,4
390000,80.77,4828.53,3,1
874800,72.0,12150.0,3,0
409000,39.0,10487.18,2,2
589000,112.04,5257.05,5,1
389000,33.9,11474.93,2,1
417000,42.7,9765.81,2,2
557000,58.37,9542.57,3,2
746000,80.54,9262.48,4,2
379000,60.5,6264.46,3,1
439000,53.97,8134.15,3,0
1299000,86.0,15104.65,3,6
385000,53.5,7196.26,3,0
406000,28.0,14500.0,1,0
465000,31.0,15000.0,1,0
420000,28.0,15000.0,1,0
210248,25.64,8200.0,1,1
392867,49.73,7900.0,2,0
280000,37.0,7567.57,1,3
750000,81.79,9169.83,4,1
460000,52.0,8846.15,2,2
416000,57.02,7295.69,3,0
613800,68.2,9000.0,3,1
620620,68.2,9100.0,3,2
531810,59.09,9000.0,3,0
285000,43.7,6522.0,2,10
504648,70.09,7200.0,3,0
390000,53.8,7249.07,3,0
380000,60.5,6280.99,3,1
527668,69.43,7600.0,3,0
469000,68.87,6809.93,3,0
449000,61.0,7360.66,3,4
513400,64.82,7920.39,3,1
419569,53.11,7900.0,3,0
649441,69.87,9294.99,4,2
249000,29.0,8586.21,1,0
388680,40.0,9717.0,2,0
379000,63.28,5989.25,3,1
513400,64.82,7920.39,3,1
444276,42.0,10578.0,2,3
399900,75.6,5289.68,4,11
645000,139.0,4640.29,4,0
699000,90.0,7766.67,3,2
309917,39.23,7900.0,2,2
338980,39.88,8500.0,2,0
234696,26.67,8800.0,1,0
349000,47.0,7425.53,2,2
340000,49.0,6938.78,3,10
399150,53.22,7500.0,3,2
483516,48.84,9900.0,2,1
1020000,123.0,8292.68,4,1
457980,42.5,10776.0,2,2
2000000,70.0,28571.43,4,5
676000,67.6,10000.0,3,3
665000,66.5,10000.0,3,2
676000,67.6,10000.0,3,1
730000,127.0,5748.03,3,0
708726,67.0,10578.0,3,0
359000,46.0,7804.35,2,2
353502,43.11,8200.0,2,1
350000,50.22,6969.33,2,1
502200,65.22,7700.09,3,1
513400,64.82,7920.39,3,1
392000,52.0,7538.46,2,2
389000,56.0,6946.43,4,0
299000,36.0,8305.56,2,0
440725,51.85,8500.0,2,0
299000,53.75,5562.79,2,3
484400,64.76,7479.93,3,1
491505,75.6,6501.39,4,1
491505,75.6,6501.39,4,1
491505,75.6,6501.39,4,1
280604,34.22,8200.0,2,3
690000,102.97,6700.98,3,1
812500,95.82,8479.44,4,1
546084,65.01,8400.0,3,0
387450,42.0,9225.0,2,0
648670,74.68,8685.99,5,2
336600,51.0,6600.0,2,0
759000,84.36,8997.16,4,2
545000,116.0,4698.28,4,0
419000,61.2,6846.41,3,2
400767,50.73,7900.0,3,1
419000,59.21,7076.51,3,2
569000,125.0,4552.0,4,0
399000,53.97,7393.0,3,0
482724,48.76,9900.0,1,3
359000,44.0,8159.09,2,5
280000,37.0,7567.57,1,3
649000,65.59,9894.8,3,2
599000,67.0,8940.3,3,2
499000,80.92,6166.58,3,1
850000,119.0,7142.86,4,1
552585,65.01,8500.0,3,0
609875,71.75,8500.0,3,0
399108,35.88,11123.41,2,0
474725,55.85,8500.0,2,2
392867,49.73,7900.0,2,1
507744,48.0,10578.0,2,1
499290,58.74,8500.0,3,0
673695,68.05,9900.0,4,0
514150,79.1,6500.0,4,0
305000,44.0,6931.82,2,1
450000,45.3,9933.77,3,1
509514,55.63,9158.98,4,2
625688,58.75,10650.0,4,1
765000,116.0,6594.83,4,1
749000,84.21,8894.43,3,0
270000,101.36,2663.77,1,4
634392,64.08,9900.0,3,3
474725,55.85,8500.0,2,2
750000,122.0,6147.54,4,0
749000,114.5,6541.48,3,0
490000,70.63,6938.0,4,3
233523,28.83,8100.0,2,0
351065,35.04,10018.98,2,2
395845,46.57,8500.0,2,0
359000,58.0,6189.66,3,0
210248,25.64,8200.0,1,0
750000,82.0,9146.34,3,2
309000,47.98,6440.18,2,0
295000,46.18,6388.05,2,2
460000,65.0,7076.92,3,0
352440,39.6,8900.0,2,2
330375,44.05,7500.0,2,0
430000,53.0,8113.21,3,0
870000,76.04,11441.35,3,4
440725,51.85,8500.0,2,0
356480,44.56,8000.0,2,0
338980,39.88,8500.0,2,0
285000,33.71,8454.46,2,2
359000,46.33,7748.76,2,1
1072996,98.44,10900.0,4,1
860000,61.22,14047.7,2,4
950301,95.99,9900.0,4,6
392867,49.73,7900.0,2,0
290000,44.0,6590.91,2,4
395760,49.47,8000.0,3,1
628603,86.11,7300.0,4,1
504648,70.09,7200.0,3,0
650000,124.88,5205.0,5,1
716745,98.19,7299.57,5,3
549000,47.0,11680.85,2,1
462783,67.07,6900.0,3,3
628603,86.11,7300.0,4,1
268000,37.0,7243.24,2,2
649528,73.81,8800.0,4,2
340000,53.0,6415.09,2,3
504036,64.62,7800.0,3,1
549000,250.0,2196.0,4,1
453320,64.76,7000.0,3,1
449000,58.24,7709.48,3,0
379000,56.7,6684.3,4,3
460000,42.67,10780.41,3,2
458000,38.74,11822.41,2,0
474975,63.33,7500.0,3,1
379000,48.5,7814.43,2,4
634392,64.08,9900.0,3,2
369000,57.4,6428.57,3,4
464046,58.74,7900.0,3,0
460000,65.0,7076.92,3,0
339000,33.9,10000.0,2,2
359652,34.0,10578.0,1,0
549000,47.0,11680.85,2,1
649442,69.87,9295.0,4,2
483516,48.84,9900.0,2,1
400767,50.73,7900.0,3,1
629680,74.08,8500.0,4,1
499290,58.74,8500.0,3,0
447900,53.0,8450.94,3,3
589000,112.04,5257.05,5,1
524856,69.06,7600.0,3,0
683655,80.43,8500.0,4,3
480000,56.5,8495.58,3,2
580355,56.62,10250.0,4,0
488862,49.38,9900.0,2,5
385000,53.8,7156.13,3,0
399150,54.0,7391.67,3,2
525000,70.0,7500.0,4,0
701250,82.5,8500.0,4,1
299000,40.0,7475.0,1,3
504252,73.08,6900.0,3,3
450000,89.0,5056.18,3,0
449000,58.24,7709.48,3,0
475000,51.0,9313.73,2,0
244412,28.42,8600.0,1,1
919000,115.8,7936.1,4,0
469000,59.0,7949.15,2,1
195500,25.73,7598.13,1,0
309917,39.23,7900.0,2,1
555000,63.35,8760.85,3,1
425760,53.22,8000.0,3,2
490420,79.1,6200.0,4,1
459600,58.02,7921.41,3,0
479000,52.4,9141.22,2,0
367982,46.58,7900.0,2,0
379000,63.5,5968.5,3,0
635000,68.31,9295.86,3,0
430000,53.8,7992.57,3,0
359900,57.56,6252.61,4,4
559000,67.95,8226.64,3,1
399000,71.0,5619.72,2,1
380000,54.0,7037.04,2,0
439000,53.97,8134.15,3,0
335000,37.7,8885.94,2,3
379000,57.4,6602.79,3,4
589000,92.78,6348.35,5,1
650000,124.76,5210.0,4,0
265000,30.9,8576.05,2,10
389000,54.5,7137.61,3,0
377225,47.75,7900.0,3,2
730000,68.59,10642.95,3,2
259000,30.3,8547.85,1,4
382000,46.3,8250.54,3,4
423225,56.43,7500.0,3,0
380000,56.2,6761.57,3,2
1130000,239.96,4709.12,6,2
388875,51.85,7500.0,2,0
440025,58.67,7500.0,3,0
329000,54.7,6014.63,3,0
750000,109.0,6880.73,4,0
